path,label
fa1_outputs\balanced\fall\aug340_C_flipped_Home_01_video (1)_f149.png,fall
fa1_outputs\balanced\sitting\aug552_B_rotated_15deg_Coffee_room_01_video (34)_f0.png,sitting
fa1_outputs\balanced\walking\aug399_C_flipped_Home_02_video (52)_f64.png,walking
fa1_outputs\balanced\normal\Coffee_room_01_video (39)_f137.png,normal
fa1_outputs\balanced\walking\aug800_brightness_jitter_Home_01_video (20)_f129.png,walking
fa1_outputs\balanced\standing\Office_video (17)_f43.png,standing
fa1_outputs\balanced\sitting\aug466_brightness_jitter_Office_video (16)_f0.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (26)_f83.png,standing
fa1_outputs\balanced\walking\aug193_brightness_jitter_Home_02_video (55)_f27.png,walking
fa1_outputs\balanced\fall\aug219_C_flipped_Coffee_room_01_video (45)_f107.png,fall
fa1_outputs\balanced\fall\Coffee_room_01_video (29)_f297.png,fall
fa1_outputs\balanced\walking\aug708_C_flipped_Office_video (33)_f159.png,walking
fa1_outputs\balanced\sitting\aug742_C_flipped_Coffee_room_01_video (47)_f0.png,sitting
fa1_outputs\balanced\walking\aug368_D_zoom_1.3x_Coffee_room_02_video (60)_f0.png,walking
fa1_outputs\balanced\walking\aug352_brightness_jitter_Office_video (28)_f454.png,walking
fa1_outputs\balanced\walking\aug872_D_zoom_1.3x_Home_01_video (20)_f135.png,walking
fa1_outputs\balanced\normal\Office_video (1)_f166.png,normal
fa1_outputs\balanced\walking\aug539_D_zoom_1.3x_Home_02_video (50)_f78.png,walking
fa1_outputs\balanced\normal\Coffee_room_01_video (16)_f110.png,normal
fa1_outputs\balanced\fall\Coffee_room_01_video (14)_f76.png,fall
fa1_outputs\balanced\sitting\aug345_C_flipped_Office_video (33)_f255.png,sitting
fa1_outputs\balanced\walking\aug599_B_rotated_15deg_Home_01_video (9)_f252.png,walking
fa1_outputs\balanced\sitting\aug629_brightness_jitter_Home_02_video (48)_f24.png,sitting
fa1_outputs\balanced\walking\aug292_C_flipped_Coffee_room_01_video (38)_f140.png,walking
fa1_outputs\balanced\walking\aug330_B_rotated_15deg_Home_02_video (53)_f27.png,walking
fa1_outputs\balanced\walking\aug235_brightness_jitter_Home_01_video (21)_f135.png,walking
fa1_outputs\balanced\fall\aug164_D_zoom_1.3x_Coffee_room_01_video (35)_f106.png,fall
fa1_outputs\balanced\walking\aug225_brightness_jitter_Coffee_room_02_video (58)_f38.png,walking
fa1_outputs\balanced\normal\aug326_B_rotated_15deg_Home_02_video (33)_f38.png,normal
fa1_outputs\balanced\normal\Office_video (10)_f0.png,normal
fa1_outputs\balanced\normal\aug344_B_rotated_15deg_Home_02_video (38)_f168.png,normal
fa1_outputs\balanced\sitting\aug107_B_rotated_15deg_Lecture_room_video (18)_f315.png,sitting
fa1_outputs\balanced\sitting\aug394_brightness_jitter_Coffee_room_01_video (9)_f25.png,sitting
fa1_outputs\balanced\walking\aug485_B_rotated_15deg_Office_video (15)_f0.png,walking
fa1_outputs\balanced\sitting\aug794_C_flipped_Home_02_video (41)_f210.png,sitting
fa1_outputs\balanced\standing\Coffee_room_02_video (64)_f42.png,standing
fa1_outputs\balanced\walking\aug21_D_zoom_1.3x_Home_01_video (21)_f129.png,walking
fa1_outputs\balanced\walking\aug496_B_rotated_15deg_Office_video (9)_f61.png,walking
fa1_outputs\balanced\sitting\aug676_brightness_jitter_Office_video (3)_f0.png,sitting
fa1_outputs\balanced\standing\Coffee_room_02_video (50)_f1465.png,standing
fa1_outputs\balanced\walking\aug152_D_zoom_1.3x_Coffee_room_01_video (38)_f88.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (26)_f166.png,standing
fa1_outputs\balanced\fall\Coffee_room_01_video (3)_f243.png,fall
fa1_outputs\balanced\walking\aug354_C_flipped_Office_video (9)_f61.png,walking
fa1_outputs\balanced\normal\Coffee_room_02_video (50)_f390.png,normal
fa1_outputs\balanced\fall\Coffee_room_01_video (21)_f89.png,fall
fa1_outputs\balanced\sitting\aug592_D_zoom_1.3x_Coffee_room_02_video (62)_f112.png,sitting
fa1_outputs\balanced\standing\Lecture_room_video (22)_f246.png,standing
fa1_outputs\balanced\walking\aug598_brightness_jitter_Home_01_video (8)_f178.png,walking
fa1_outputs\balanced\normal\aug407_brightness_jitter_Home_02_video (56)_f108.png,normal
fa1_outputs\balanced\normal\Home_02_video (38)_f134.png,normal
fa1_outputs\balanced\standing\Coffee_room_01_video (40)_f175.png,standing
fa1_outputs\balanced\standing\Home_01_video (1)_f105.png,standing
fa1_outputs\balanced\walking\aug975_brightness_jitter_Home_02_video (56)_f324.png,walking
fa1_outputs\balanced\sitting\aug667_brightness_jitter_Office_video (25)_f247.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (36)_f902.png,standing
fa1_outputs\balanced\fall\aug457_brightness_jitter_Lecture_room_video (7)_f303.png,fall
fa1_outputs\balanced\fall\Coffee_room_01_video (13)_f96.png,fall
fa1_outputs\balanced\walking\aug475_C_flipped_Home_02_video (55)_f0.png,walking
fa1_outputs\balanced\walking\aug467_B_rotated_15deg_Home_02_video (50)_f62.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (46)_f109.png,standing
fa1_outputs\balanced\normal\Home_01_video (1)_f198.png,normal
fa1_outputs\balanced\fall\Home_01_video (18)_f129.png,fall
fa1_outputs\balanced\standing\Lecture_room_video (1)_f142.png,standing
fa1_outputs\balanced\walking\aug825_brightness_jitter_Home_02_video (52)_f64.png,walking
fa1_outputs\balanced\sitting\aug654_B_rotated_15deg_Office_video (22)_f66.png,sitting
fa1_outputs\balanced\standing\Lecture_room_video (16)_f543.png,standing
fa1_outputs\balanced\walking\aug675_D_zoom_1.3x_Home_02_video (48)_f0.png,walking
fa1_outputs\balanced\sitting\aug402_brightness_jitter_Coffee_room_02_video (55)_f40.png,sitting
fa1_outputs\balanced\walking\aug525_C_flipped_Home_01_video (30)_f72.png,walking
fa1_outputs\balanced\sitting\aug133_brightness_jitter_Office_video (24)_f207.png,sitting
fa1_outputs\balanced\sitting\aug13_C_flipped_Coffee_room_01_video (27)_f63.png,sitting
fa1_outputs\balanced\normal\aug215_B_rotated_15deg_Home_01_video (17)_f144.png,normal
fa1_outputs\balanced\standing\Coffee_room_02_video (54)_f94.png,standing
fa1_outputs\balanced\walking\aug57_D_zoom_1.3x_Lecture_room_video (27)_f161.png,walking
fa1_outputs\balanced\sitting\aug73_brightness_jitter_Home_01_video (22)_f48.png,sitting
fa1_outputs\balanced\normal\aug247_D_zoom_1.3x_Home_01_video (22)_f90.png,normal
fa1_outputs\balanced\normal\Home_02_video (54)_f162.png,normal
fa1_outputs\balanced\standing\Lecture_room_video (3)_f389.png,standing
fa1_outputs\balanced\standing\Office_video (19)_f246.png,standing
fa1_outputs\balanced\standing\Coffee_room_01_video (19)_f42.png,standing
fa1_outputs\balanced\standing\Coffee_room_01_video (48)_f486.png,standing
fa1_outputs\balanced\standing\Coffee_room_01_video (41)_f152.png,standing
fa1_outputs\balanced\walking\aug42_brightness_jitter_Home_02_video (50)_f78.png,walking
fa1_outputs\balanced\sitting\aug142_D_zoom_1.3x_Office_video (27)_f405.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (5)_f67.png,standing
fa1_outputs\balanced\sitting\aug256_C_flipped_Home_01_video (27)_f30.png,sitting
fa1_outputs\balanced\fall\aug410_C_flipped_Home_01_video (4)_f152.png,fall
fa1_outputs\balanced\walking\aug627_brightness_jitter_Office_video (15)_f0.png,walking
fa1_outputs\balanced\fall\Home_01_video (27)_f169.png,fall
fa1_outputs\balanced\fall\aug64_D_zoom_1.3x_Coffee_room_01_video (18)_f184.png,fall
fa1_outputs\balanced\walking\aug849_D_zoom_1.3x_Office_video (28)_f454.png,walking
fa1_outputs\balanced\fall\Home_01_video (19)_f76.png,fall
fa1_outputs\balanced\walking\aug75_D_zoom_1.3x_Coffee_room_01_video (24)_f33.png,walking
fa1_outputs\balanced\walking\aug263_D_zoom_1.3x_Home_02_video (55)_f162.png,walking
fa1_outputs\balanced\fall\Coffee_room_01_video (27)_f196.png,fall
fa1_outputs\balanced\normal\Home_02_video (57)_f144.png,normal
fa1_outputs\balanced\sitting\aug729_D_zoom_1.3x_Coffee_room_01_video (34)_f103.png,sitting
fa1_outputs\balanced\sitting\aug518_B_rotated_15deg_Office_video (32)_f217.png,sitting
fa1_outputs\balanced\standing\Home_02_video (58)_f100.png,standing
fa1_outputs\balanced\normal\Lecture_room_video (1)_f178.png,normal
fa1_outputs\balanced\sitting\aug689_C_flipped_Office_video (30)_f623.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (40)_f218.png,standing
fa1_outputs\balanced\fall\aug432_brightness_jitter_Home_02_video (32)_f38.png,fall
fa1_outputs\balanced\normal\Home_01_video (1)_f99.png,normal
fa1_outputs\balanced\normal\aug258_D_zoom_1.3x_Home_01_video (24)_f38.png,normal
fa1_outputs\balanced\walking\aug440_D_zoom_1.3x_Coffee_room_02_video (60)_f55.png,walking
fa1_outputs\balanced\sitting\aug414_brightness_jitter_Coffee_room_02_video (57)_f70.png,sitting
fa1_outputs\balanced\sitting\aug207_brightness_jitter_Coffee_room_01_video (34)_f83.png,sitting
fa1_outputs\balanced\sitting\aug812_D_zoom_1.3x_Lecture_room_video (18)_f420.png,sitting
fa1_outputs\balanced\walking\aug116_D_zoom_1.3x_Home_02_video (53)_f21.png,walking
fa1_outputs\balanced\fall\aug389_D_zoom_1.3x_Home_01_video (27)_f173.png,fall
fa1_outputs\balanced\fall\aug30_B_rotated_15deg_Coffee_room_01_video (14)_f64.png,fall
fa1_outputs\balanced\sitting\aug156_brightness_jitter_Office_video (3)_f46.png,sitting
fa1_outputs\balanced\sitting\aug701_brightness_jitter_Office_video (4)_f192.png,sitting
fa1_outputs\balanced\normal\Coffee_room_01_video (18)_f107.png,normal
fa1_outputs\balanced\walking\aug470_D_zoom_1.3x_Home_02_video (52)_f64.png,walking
fa1_outputs\balanced\normal\Office_video (13)_f633.png,normal
fa1_outputs\balanced\standing\Coffee_room_02_video (69)_f898.png,standing
fa1_outputs\balanced\normal\aug222_D_zoom_1.3x_Home_01_video (19)_f120.png,normal
fa1_outputs\balanced\walking\aug307_D_zoom_1.3x_Home_01_video (26)_f129.png,walking
fa1_outputs\balanced\standing\Office_video (31)_f50.png,standing
fa1_outputs\balanced\walking\aug18_C_flipped_Home_01_video (2)_f30.png,walking
fa1_outputs\balanced\fall\Home_01_video (1)_f154.png,fall
fa1_outputs\balanced\sitting\aug252_D_zoom_1.3x_Home_01_video (26)_f27.png,sitting
fa1_outputs\balanced\normal\aug10_B_rotated_15deg_Coffee_room_01_video (12)_f0.png,normal
fa1_outputs\balanced\sitting\aug14_D_zoom_1.3x_Coffee_room_01_video (28)_f0.png,sitting
fa1_outputs\balanced\normal\Coffee_room_01_video (37)_f0.png,normal
fa1_outputs\balanced\normal\aug31_brightness_jitter_Coffee_room_01_video (16)_f132.png,normal
fa1_outputs\balanced\sitting\aug238_brightness_jitter_Coffee_room_02_video (57)_f70.png,sitting
fa1_outputs\balanced\standing\Office_video (14)_f51.png,standing
fa1_outputs\balanced\normal\Office_video (32)_f340.png,normal
fa1_outputs\balanced\normal\Coffee_room_02_video (58)_f272.png,normal
fa1_outputs\balanced\standing\Lecture_room_video (2)_f202.png,standing
fa1_outputs\balanced\standing\Office_video (29)_f1098.png,standing
fa1_outputs\balanced\normal\Home_02_video (37)_f90.png,normal
fa1_outputs\balanced\walking\aug462_D_zoom_1.3x_Home_02_video (48)_f0.png,walking
fa1_outputs\balanced\sitting\aug227_D_zoom_1.3x_Coffee_room_02_video (55)_f64.png,sitting
fa1_outputs\balanced\normal\Coffee_room_02_video (53)_f47.png,normal
fa1_outputs\balanced\standing\Lecture_room_video (18)_f105.png,standing
fa1_outputs\balanced\normal\Lecture_room_video (3)_f124.png,normal
fa1_outputs\balanced\fall\Coffee_room_01_video (19)_f106.png,fall
fa1_outputs\balanced\walking\aug781_brightness_jitter_Coffee_room_01_video (11)_f289.png,walking
fa1_outputs\balanced\sitting\aug386_brightness_jitter_Coffee_room_01_video (42)_f19.png,sitting
fa1_outputs\balanced\walking\Home_02_video (54)_f54.png,walking
fa1_outputs\balanced\walking\aug128_B_rotated_15deg_Lecture_room_video (27)_f161.png,walking
fa1_outputs\balanced\fall\aug368_D_zoom_1.3x_Home_01_video (20)_f86.png,fall
fa1_outputs\balanced\walking\aug412_D_zoom_1.3x_Lecture_room_video (27)_f161.png,walking
fa1_outputs\balanced\walking\aug301_D_zoom_1.3x_Home_01_video (11)_f273.png,walking
fa1_outputs\balanced\walking\aug824_C_flipped_Home_02_video (52)_f21.png,walking
fa1_outputs\balanced\standing\Coffee_room_02_video (68)_f200.png,standing
fa1_outputs\balanced\walking\aug549_C_flipped_Home_02_video (56)_f324.png,walking
fa1_outputs\balanced\normal\Coffee_room_01_video (16)_f88.png,normal
fa1_outputs\balanced\sitting\aug301_D_zoom_1.3x_Office_video (20)_f319.png,sitting
fa1_outputs\balanced\standing\Lecture_room_video (16)_f87.png,standing
fa1_outputs\balanced\standing\Lecture_room_video (8)_f505.png,standing
fa1_outputs\balanced\normal\Office_video (2)_f155.png,normal
fa1_outputs\balanced\normal\Office_video (24)_f103.png,normal
fa1_outputs\balanced\fall\aug483_brightness_jitter_Office_video (5)_f214.png,fall
fa1_outputs\balanced\walking\aug963_C_flipped_Home_02_video (50)_f273.png,walking
fa1_outputs\balanced\normal\aug64_D_zoom_1.3x_Coffee_room_01_video (24)_f0.png,normal
fa1_outputs\balanced\sitting\aug491_B_rotated_15deg_Office_video (25)_f247.png,sitting
fa1_outputs\balanced\sitting\aug203_brightness_jitter_Coffee_room_01_video (34)_f166.png,sitting
fa1_outputs\balanced\sitting\Coffee_room_02_video (57)_f70.png,sitting
fa1_outputs\balanced\sitting\aug754_C_flipped_Coffee_room_02_video (55)_f40.png,sitting
fa1_outputs\balanced\fall\aug66_D_zoom_1.3x_Coffee_room_01_video (19)_f106.png,fall
fa1_outputs\balanced\walking\aug360_B_rotated_15deg_Coffee_room_01_video (24)_f66.png,walking
fa1_outputs\balanced\sitting\aug405_D_zoom_1.3x_Coffee_room_02_video (56)_f107.png,sitting
fa1_outputs\balanced\fall\Coffee_room_01_video (16)_f70.png,fall
fa1_outputs\balanced\fall\aug54_D_zoom_1.3x_Coffee_room_01_video (17)_f39.png,fall
fa1_outputs\balanced\standing\Office_video (15)_f198.png,standing
fa1_outputs\balanced\standing\Home_02_video (38)_f19.png,standing
fa1_outputs\balanced\standing\Lecture_room_video (23)_f337.png,standing
fa1_outputs\balanced\walking\aug326_B_rotated_15deg_Home_02_video (50)_f78.png,walking
fa1_outputs\balanced\fall\aug267_brightness_jitter_Coffee_room_02_video (51)_f76.png,fall
fa1_outputs\balanced\fall\Coffee_room_01_video (5)_f137.png,fall
fa1_outputs\balanced\normal\Office_video (21)_f267.png,normal
fa1_outputs\balanced\walking\aug528_B_rotated_15deg_Home_01_video (9)_f252.png,walking
fa1_outputs\balanced\fall\Coffee_room_01_video (1)_f58.png,fall
fa1_outputs\balanced\sitting\aug330_B_rotated_15deg_Office_video (3)_f280.png,sitting
fa1_outputs\balanced\fall\aug23_D_zoom_1.3x_Coffee_room_01_video (12)_f58.png,fall
fa1_outputs\balanced\sitting\aug650_brightness_jitter_Office_video (19)_f123.png,sitting
fa1_outputs\balanced\walking\aug53_brightness_jitter_Home_02_video (60)_f62.png,walking
fa1_outputs\balanced\fall\Home_01_video (19)_f129.png,fall
fa1_outputs\balanced\walking\aug407_brightness_jitter_Home_02_video (56)_f324.png,walking
fa1_outputs\balanced\walking\aug214_brightness_jitter_Coffee_room_01_video (12)_f22.png,walking
fa1_outputs\balanced\sitting\aug48_C_flipped_Coffee_room_02_video (55)_f129.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (3)_f76.png,standing
fa1_outputs\balanced\fall\aug56_C_flipped_Coffee_room_01_video (17)_f57.png,fall
fa1_outputs\balanced\sitting\aug837_B_rotated_15deg_Office_video (24)_f207.png,sitting
fa1_outputs\balanced\sitting\aug666_D_zoom_1.3x_Office_video (24)_f82.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (41)_f229.png,standing
fa1_outputs\balanced\sitting\aug643_brightness_jitter_Office_video (16)_f107.png,sitting
fa1_outputs\balanced\walking\aug591_brightness_jitter_Home_01_video (26)_f129.png,walking
fa1_outputs\balanced\normal\aug238_brightness_jitter_Home_01_video (21)_f27.png,normal
fa1_outputs\balanced\fall\aug506_D_zoom_1.3x_Coffee_room_01_video (10)_f226.png,fall
fa1_outputs\balanced\fall\aug524_C_flipped_Coffee_room_01_video (14)_f66.png,fall
fa1_outputs\balanced\fall\Coffee_room_01_video (25)_f163.png,fall
fa1_outputs\balanced\normal\aug85_B_rotated_15deg_Coffee_room_01_video (30)_f36.png,normal
fa1_outputs\balanced\walking\aug3_D_zoom_1.3x_Coffee_room_01_video (17)_f19.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (11)_f241.png,standing
fa1_outputs\balanced\walking\aug184_D_zoom_1.3x_Home_02_video (50)_f78.png,walking
fa1_outputs\balanced\normal\aug192_C_flipped_Coffee_room_02_video (66)_f149.png,normal
fa1_outputs\balanced\fall\aug157_B_rotated_15deg_Coffee_room_01_video (33)_f94.png,fall
fa1_outputs\balanced\standing\Office_video (32)_f163.png,standing
fa1_outputs\balanced\standing\Home_02_video (59)_f81.png,standing
fa1_outputs\balanced\walking\aug208_B_rotated_15deg_Office_video (19)_f41.png,walking
fa1_outputs\balanced\fall\aug260_C_flipped_Coffee_room_02_video (49)_f454.png,fall
fa1_outputs\balanced\sitting\aug1_C_flipped_Coffee_room_01_video (21)_f0.png,sitting
fa1_outputs\balanced\fall\aug277_D_zoom_1.3x_Coffee_room_02_video (53)_f268.png,fall
fa1_outputs\balanced\normal\Lecture_room_video (14)_f160.png,normal
fa1_outputs\balanced\normal\aug59_B_rotated_15deg_Coffee_room_01_video (22)_f85.png,normal
fa1_outputs\balanced\standing\Home_02_video (37)_f120.png,standing
fa1_outputs\balanced\standing\Home_02_video (48)_f96.png,standing
fa1_outputs\balanced\standing\Coffee_room_02_video (70)_f671.png,standing
fa1_outputs\balanced\walking\aug300_C_flipped_Coffee_room_02_video (70)_f167.png,walking
fa1_outputs\balanced\standing\Lecture_room_video (6)_f114.png,standing
fa1_outputs\balanced\standing\Coffee_room_01_video (24)_f133.png,standing
fa1_outputs\balanced\normal\aug147_B_rotated_15deg_Coffee_room_02_video (50)_f1367.png,normal
fa1_outputs\balanced\fall\aug44_C_flipped_Coffee_room_01_video (16)_f50.png,fall
fa1_outputs\balanced\walking\aug31_D_zoom_1.3x_Home_01_video (9)_f252.png,walking
fa1_outputs\balanced\standing\Home_02_video (38)_f96.png,standing
fa1_outputs\balanced\walking\aug632_brightness_jitter_Office_video (18)_f612.png,walking
fa1_outputs\balanced\normal\Coffee_room_01_video (35)_f202.png,normal
fa1_outputs\balanced\standing\Office_video (31)_f121.png,standing
fa1_outputs\balanced\normal\Office_video (30)_f374.png,normal
fa1_outputs\balanced\walking\aug780_brightness_jitter_Office_video (9)_f61.png,walking
fa1_outputs\balanced\standing\Home_02_video (59)_f86.png,standing
fa1_outputs\balanced\standing\Office_video (18)_f191.png,standing
fa1_outputs\balanced\normal\Office_video (12)_f260.png,normal
fa1_outputs\balanced\fall\aug406_C_flipped_Home_01_video (30)_f153.png,fall
fa1_outputs\balanced\sitting\Coffee_room_02_video (56)_f107.png,sitting
fa1_outputs\balanced\fall\aug451_D_zoom_1.3x_Lecture_room_video (3)_f498.png,fall
fa1_outputs\balanced\walking\aug64_B_rotated_15deg_Office_video (18)_f612.png,walking
fa1_outputs\balanced\standing\Office_video (19)_f287.png,standing
fa1_outputs\balanced\standing\Lecture_room_video (17)_f126.png,standing
fa1_outputs\balanced\fall\aug222_C_flipped_Coffee_room_01_video (45)_f129.png,fall
fa1_outputs\balanced\sitting\Home_02_video (45)_f162.png,sitting
fa1_outputs\balanced\normal\Office_video (33)_f511.png,normal
fa1_outputs\balanced\walking\aug559_B_rotated_15deg_Office_video (18)_f478.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (41)_f95.png,standing
fa1_outputs\balanced\walking\aug63_D_zoom_1.3x_Office_video (18)_f574.png,walking
fa1_outputs\balanced\normal\aug254_brightness_jitter_Home_01_video (24)_f0.png,normal
fa1_outputs\balanced\normal\aug405_C_flipped_Home_02_video (55)_f43.png,normal
fa1_outputs\balanced\standing\Coffee_room_01_video (29)_f287.png,standing
fa1_outputs\balanced\normal\aug47_D_zoom_1.3x_Coffee_room_01_video (19)_f85.png,normal
fa1_outputs\balanced\standing\Coffee_room_01_video (23)_f155.png,standing
fa1_outputs\balanced\walking\aug726_D_zoom_1.3x_Coffee_room_02_video (70)_f167.png,walking
fa1_outputs\balanced\fall\aug185_B_rotated_15deg_Coffee_room_01_video (39)_f55.png,fall
fa1_outputs\balanced\standing\Lecture_room_video (5)_f243.png,standing
fa1_outputs\balanced\standing\Office_video (20)_f53.png,standing
fa1_outputs\balanced\sitting\Office_video (33)_f239.png,sitting
fa1_outputs\balanced\normal\aug213_B_rotated_15deg_Home_01_video (16)_f99.png,normal
fa1_outputs\balanced\normal\aug51_C_flipped_Coffee_room_01_video (2)_f267.png,normal
fa1_outputs\balanced\fall\aug120_B_rotated_15deg_Coffee_room_01_video (29)_f297.png,fall
fa1_outputs\balanced\sitting\aug408_brightness_jitter_Coffee_room_02_video (56)_f215.png,sitting
fa1_outputs\balanced\standing\Coffee_room_02_video (60)_f103.png,standing
fa1_outputs\balanced\sitting\aug810_B_rotated_15deg_Lecture_room_video (14)_f256.png,sitting
fa1_outputs\balanced\fall\Lecture_room_video (7)_f303.png,fall
fa1_outputs\balanced\sitting\aug12_C_flipped_Coffee_room_01_video (27)_f50.png,sitting
fa1_outputs\balanced\sitting\aug329_D_zoom_1.3x_Office_video (3)_f233.png,sitting
fa1_outputs\balanced\walking\aug557_B_rotated_15deg_Office_video (15)_f39.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (7)_f43.png,standing
fa1_outputs\balanced\walking\aug384_C_flipped_Home_01_video (4)_f30.png,walking
fa1_outputs\balanced\standing\Home_02_video (45)_f54.png,standing
fa1_outputs\balanced\sitting\aug224_D_zoom_1.3x_Coffee_room_02_video (55)_f129.png,sitting
fa1_outputs\balanced\normal\aug77_C_flipped_Coffee_room_01_video (29)_f41.png,normal
fa1_outputs\balanced\normal\Lecture_room_video (22)_f740.png,normal
fa1_outputs\balanced\sitting\Coffee_room_02_video (55)_f0.png,sitting
fa1_outputs\balanced\fall\Coffee_room_02_video (58)_f248.png,fall
fa1_outputs\balanced\fall\Coffee_room_02_video (51)_f162.png,fall
fa1_outputs\balanced\fall\aug125_D_zoom_1.3x_Coffee_room_01_video (3)_f242.png,fall
fa1_outputs\balanced\fall\aug156_B_rotated_15deg_Coffee_room_01_video (33)_f90.png,fall
